,Geography,Gender,EB,Age,EstimatedSalary,NumOfProducts,CreditScore,Tenure,HasCrCard,IsActiveMember,Exited
0,0.0,0.0,0.0,0.3243243243243243,0.5067348931822989,0.0,0.5379999999999999,0.2,1.0,1.0,1.0
1,0.5,0.0,7.015554185525216e-05,0.3108108108108108,0.5627087386845444,0.0,0.5159999999999999,0.1,0.0,1.0,0.0
2,0.0,0.0,0.00013202261108910757,0.3243243243243243,0.5696543519906151,0.6666666666666667,0.30399999999999994,0.8,1.0,0.0,1.0
3,0.0,0.0,0.0,0.2837837837837838,0.46912005096486714,0.3333333333333333,0.6980000000000001,0.1,0.0,0.0,0.0
4,0.5,0.0,0.00014951545577441747,0.3378378378378379,0.3954003607344502,0.0,0.9999999999999999,0.2,1.0,1.0,0.0
5,0.5,1.0,7.156180417666012e-05,0.35135135135135137,0.7487971601287922,0.3333333333333333,0.59,0.8,1.0,0.0,1.0
6,0.0,1.0,0.0,0.4324324324324324,0.050260899915941966,0.3333333333333333,0.9440000000000001,0.7000000000000001,1.0,1.0,0.0
7,1.0,0.0,9.08149494299553e-05,0.14864864864864863,0.5967334880481086,1.0,0.051999999999999935,0.4,1.0,0.0,1.0
8,0.0,1.0,0.00017857556043288767,0.35135135135135137,0.37468038197647874,0.3333333333333333,0.30199999999999994,0.4,0.0,1.0,0.0
9,0.0,1.0,0.00017679773645106657,0.12162162162162166,0.3586049967771922,0.0,0.668,0.2,1.0,1.0,0.0
10,0.0,1.0,0.00011986526130705942,0.1756756756756757,0.40088598461153035,0.3333333333333333,0.356,0.6000000000000001,0.0,0.0,0.0
11,0.5,1.0,0.0,0.08108108108108109,0.3819286241836095,0.3333333333333333,0.29399999999999993,0.30000000000000004,1.0,0.0,0.0
12,0.0,0.0,0.0,0.21621621621621623,0.13125953528561976,0.3333333333333333,0.252,1.0,1.0,0.0,0.0
13,0.0,0.0,0.0,0.09459459459459457,0.9543221877689319,0.3333333333333333,0.398,0.5,0.0,0.0,0.0
14,0.5,0.0,0.0,0.22972972972972977,0.32973183939066175,0.3333333333333333,0.57,0.7000000000000001,1.0,1.0,0.0
15,1.0,1.0,0.00020961768807071143,0.36486486486486486,0.32160911367035555,0.3333333333333333,0.5319999999999999,0.30000000000000004,0.0,1.0,0.0
16,1.0,1.0,0.002450616411153144,0.5405405405405406,0.02543287883992921,0.0,0.606,0.1,1.0,0.0,1.0
17,0.5,0.0,0.0,0.08108108108108109,0.07198102418780992,0.3333333333333333,0.398,0.9,1.0,1.0,0.0
18,0.5,1.0,0.0,0.36486486486486486,0.7934419237037137,0.0,0.47399999999999987,0.6000000000000001,0.0,0.0,0.0
19,0.0,0.0,0.0,0.08108108108108109,0.2735883776900694,0.3333333333333333,0.7519999999999999,0.6000000000000001,1.0,1.0,0.0
20,0.0,1.0,0.0,0.3108108108108108,0.8544545504095641,0.3333333333333333,0.7639999999999999,0.8,1.0,1.0,0.0
21,0.5,0.0,0.0,0.1891891891891892,0.6927855610210775,0.3333333333333333,0.572,0.8,1.0,0.0,0.0
22,0.5,0.0,0.0,0.27027027027027034,0.5945665311037204,0.0,0.31999999999999995,0.4,1.0,0.0,1.0
23,0.0,1.0,0.0,0.37837837837837845,0.04238489775773586,0.3333333333333333,0.638,0.30000000000000004,0.0,1.0,0.0
24,0.0,0.0,0.0,0.27027027027027034,0.9381124897427704,0.0,0.9919999999999999,0.5,1.0,1.0,0.0
25,0.0,1.0,0.0,0.09459459459459457,0.6225430028567728,0.3333333333333333,0.45399999999999985,0.30000000000000004,0.0,1.0,0.0
26,1.0,1.0,7.580079641285086e-05,0.24324324324324326,0.8502330472560129,0.0,0.8119999999999999,0.2,1.0,1.0,0.0
27,0.0,1.0,0.0,0.35135135135135137,0.19212719814742305,0.3333333333333333,0.44200000000000006,0.9,0.0,0.0,0.0
28,1.0,0.0,0.0001329152841535853,0.3378378378378379,0.5009270885369552,0.0,0.44800000000000006,0.30000000000000004,1.0,1.0,0.0
29,0.0,1.0,0.00010515510883130466,0.14864864864864863,0.26738368514193106,0.3333333333333333,0.122,0.0,1.0,1.0,0.0
30,0.5,0.0,0.0,0.2837837837837838,0.702356075005163,0.6666666666666667,0.4819999999999999,0.30000000000000004,1.0,0.0,1.0
31,0.0,1.0,5.12796755463972e-05,0.24324324324324326,0.7836764911049005,0.0,0.366,0.7000000000000001,0.0,1.0,0.0
32,1.0,1.0,0.00012666402603455588,0.3108108108108108,0.40947525488684167,0.3333333333333333,0.406,0.9,0.0,0.0,0.0
33,0.5,0.0,0.0,0.3243243243243243,0.17201127707696084,0.3333333333333333,0.33999999999999997,0.6000000000000001,1.0,1.0,0.0
34,0.5,0.0,0.0,0.14864864864864863,0.710175271738451,0.3333333333333333,0.7439999999999999,0.9,1.0,1.0,0.0
35,0.0,0.0,0.0004546215413469889,0.36486486486486486,0.13907033121663118,0.0,0.25,0.0,1.0,0.0,1.0
36,0.5,1.0,0.00011997249267282858,0.1756756756756757,0.570330416554781,0.0,0.2799999999999999,0.30000000000000004,0.0,1.0,0.0
37,0.5,1.0,7.324878272261657e-05,0.2027027027027027,0.49225636048242605,0.0,0.908,0.7000000000000001,0.0,1.0,0.0
38,0.0,1.0,0.0,0.24324324324324326,0.20402608449106888,0.0,0.9999999999999999,0.7000000000000001,1.0,1.0,0.0
39,1.0,1.0,3.72181154850562e-05,0.3108108108108108,0.8903973329452962,0.3333333333333333,0.46399999999999986,0.6000000000000001,0.0,1.0,0.0
40,0.5,1.0,0.0,0.2972972972972973,0.35074669630949756,0.0,0.244,0.4,1.0,0.0,0.0
41,0.0,0.0,6.366740303724827e-05,0.445945945945946,0.9065169223660858,0.0,0.22999999999999998,0.8,0.0,0.0,1.0
42,0.0,0.0,0.00011748861383672008,0.5810810810810811,0.47075620721778927,0.0,0.41200000000000003,0.2,1.0,1.0,0.0
43,0.0,0.0,6.368713650869104e-05,0.4189189189189189,0.97186371298459,0.0,0.9679999999999999,0.2,0.0,0.0,1.0
44,0.5,0.0,9.277706823048795e-05,0.5810810810810811,0.7917096582723651,0.0,0.62,0.5,1.0,1.0,0.0
45,1.0,0.0,8.14788385632233e-05,0.1891891891891892,0.6325898123270772,0.3333333333333333,0.852,0.4,1.0,1.0,0.0
46,1.0,0.0,8.817901431570162e-05,0.12162162162162166,0.5985403105996623,0.0,0.9580000000000001,0.9,1.0,1.0,1.0
47,1.0,0.0,0.000110405274634143,0.2837837837837838,0.5881122647212809,0.0,0.574,0.9,1.0,1.0,1.0
48,1.0,1.0,0.00010718130705521986,0.27027027027027034,0.454376142921649,0.0,0.4,0.2,0.0,1.0,0.0
49,1.0,0.0,5.036618824058597e-05,0.25675675675675674,0.9705303856518297,0.3333333333333333,0.852,0.2,1.0,0.0,0.0
50,1.0,1.0,5.534972362701583e-05,0.35135135135135137,0.9903324767515297,0.3333333333333333,0.6960000000000001,1.0,1.0,0.0,0.0
51,1.0,1.0,0.0001592066914043891,0.24324324324324326,0.43210621614364175,0.3333333333333333,0.46999999999999986,0.5,0.0,0.0,0.0
52,0.0,0.0,0.0,0.2027027027027027,0.584888906890608,0.3333333333333333,0.876,0.5,0.0,0.0,0.0
53,1.0,1.0,7.211074305017667e-05,0.3108108108108108,0.8202251315000582,0.0,0.61,0.8,0.0,0.0,1.0
54,1.0,1.0,0.00023189492357181968,0.3243243243243243,0.20003500334281923,0.0,0.5019999999999999,0.1,1.0,0.0,1.0
55,0.0,1.0,0.00010401274240513641,0.3378378378378379,0.567048703151151,0.0,0.5379999999999999,0.1,1.0,1.0,0.0
56,0.0,1.0,0.00013828906659263168,0.36486486486486486,0.43552154230729034,0.0,0.612,0.5,1.0,0.0,0.0
57,1.0,1.0,0.00015673737630055376,0.013513513513513542,0.22803262711588954,0.0,0.7499999999999999,0.0,0.0,0.0,0.0
58,0.5,0.0,0.0,0.6486486486486487,0.008158429129981912,0.0,0.32199999999999995,0.4,1.0,0.0,1.0
59,0.0,1.0,8.194488383694535e-05,0.445945945945946,0.23384083179943682,0.0,0.5279999999999999,0.4,1.0,1.0,0.0
